Entidad,Oficina,Mes,Origen,Nombre Comun,Peso Vivo (Kg.),Peso Desem. (Kg.),Valor (pesos),Año
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GELIDIUM,"1,913.36","1,913.36","13,314.41",2014
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"39,184.61","39,184.61","235,107.66",2013
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"526,918.24","208,168.24","1,249,009.42",2013
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GELIDIUM,"7,328.00","7,328.00","51,296.00",2011
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"119,500.00","29,875.00","179,250.00",2012
BAJA CALIFORNIA,SAN QUINTIN,Mayo,CAPTURA,ALGA GIGARTINA,"157,500.00","39,375.00","236,250.00",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"76,353.00","15,963.00","141,691.77",2007
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"3,711.00","3,711.00","55,665.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"165,354.00","27,559.00","187,062.38",2009
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"155,022.00","25,837.00","198,728.60",2013
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"221,376.00","36,896.00","276,584.00",2012
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"165,414.00","27,569.00","137,845.00",2006
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"216,906.00","36,151.00","263,678.00",2011
BAJA CALIFORNIA SUR,BAHIA TORTUGAS,Mayo,CAPTURA,ALGA GELIDIUM,"28,345.45","15,145.45","99,265.19",2014
