"","State/Province","Scientific name","County","Inicio","Fin","Titulo","Key","State"
"598","Guerrero","Polymesoda (Neocyrena) nicaraguana","Acapulco","1905","1905","Especimen preservado de Polymesoda (Neocyrena) nicaraguana en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"599","Tabasco","Polymesoda caroliniana","Río González","1980","1980","Especimen preservado de Polymesoda caroliniana en Tabasco","Moluscos; Malacologia; Presencia; Río González","Río González"
"600","Veracruz de Ignacio de la Llave","Polymesoda caroliniana","Alvarado",NA,NA,"Especimen preservado de Polymesoda caroliniana en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Alvarado","Alvarado"
"601","Veracruz de Ignacio de la Llave","Polymesoda caroliniana","Boca del Río",NA,NA,"Especimen preservado de Polymesoda caroliniana en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Boca del Río","Boca del Río"
"602","Veracruz de Ignacio de la Llave","Polymesoda caroliniana","Úrsulo Galván",NA,NA,"Especimen preservado de Polymesoda caroliniana en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Úrsulo Galván","Úrsulo Galván"
"603","Veracruz de Ignacio de la Llave","Popenaias popeii","Coyutla","1949","1949","Especimen preservado de Popenaias popeii en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Coyutla","Coyutla"
"604","Veracruz de Ignacio de la Llave","Popenaias popeii","Hueyapan","1949","1949","Especimen preservado de Popenaias popeii en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; Hueyapan","Hueyapan"
"605","Veracruz de Ignacio de la Llave","Popenaias tehuantepecensis","San Cristobal","1905","1905","Especimen preservado de Popenaias tehuantepecensis en Veracruz de Ignacio de la Llave","Moluscos; Malacologia; Presencia; San Cristobal","San Cristobal"
"606","Baja California","Protothaca (Colonche) ecuadoriana","Ensenada",NA,NA,"Especimen preservado de Protothaca (Colonche) ecuadoriana en Baja California","Moluscos; Malacologia; Presencia; Ensenada","Ensenada"
"607","Baja California","Protothaca (Colonche) ecuadoriana","San Miguel Ensenada","1957","1957","Especimen preservado de Protothaca (Colonche) ecuadoriana en Baja California","Moluscos; Malacologia; Presencia; San Miguel Ensenada","San Miguel Ensenada"
"608","","Protothaca (Leukoma) metodon","",NA,NA,"Especimen preservado de Protothaca (Leukoma) metodon en ","Moluscos; Malacologia; Presencia; ",""
"609","Sinaloa","Protothaca (Leukoma) metodon","Mazatlán","1905","1905","Especimen preservado de Protothaca (Leukoma) metodon en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"610","Guerrero","Protothaca (Leukoma) zorritensis","Acapulco","1905","1905","Especimen preservado de Protothaca (Leukoma) zorritensis en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"611","Sinaloa","Protothaca (Notochione) columbiensis","Mazatlán",NA,NA,"Especimen preservado de Protothaca (Notochione) columbiensis en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"612","Baja California Sur","Protothaca (Protothaca) grata","Bahía Magdalena",NA,NA,"Especimen preservado de Protothaca (Protothaca) grata en Baja California Sur","Moluscos; Malacologia; Presencia; Bahía Magdalena","Bahía Magdalena"
"613","Baja California Sur","Protothaca (Protothaca) grata","Isla Partida","1960","1960","Especimen preservado de Protothaca (Protothaca) grata en Baja California Sur","Moluscos; Malacologia; Presencia; Isla Partida","Isla Partida"
"614","Guerrero","Protothaca (Protothaca) grata","Acapulco","1905","1905","Especimen preservado de Protothaca (Protothaca) grata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"615","Sinaloa","Protothaca (Protothaca) grata","Mazatlán",NA,NA,"Especimen preservado de Protothaca (Protothaca) grata en Sinaloa","Moluscos; Malacologia; Presencia; Mazatlán","Mazatlán"
"616","Sonora","Protothaca (Protothaca) grata","Guaymas",NA,NA,"Especimen preservado de Protothaca (Protothaca) grata en Sonora","Moluscos; Malacologia; Presencia; Guaymas","Guaymas"
"617","Oaxaca","Protothaca (Protothaca) staminea","Salina Cruz",NA,NA,"Especimen preservado de Protothaca (Protothaca) staminea en Oaxaca","Moluscos; Malacologia; Presencia; Salina Cruz","Salina Cruz"
"618","Guerrero","Psammotreta (Psammotreta) aurora","Acapulco",NA,NA,"Especimen preservado de Psammotreta (Psammotreta) aurora en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"619","Baja California Sur","Psammotreta (Psammotreta) mazatlanica","La Paz",NA,NA,"Especimen preservado de Psammotreta (Psammotreta) mazatlanica en Baja California Sur","Moluscos; Malacologia; Presencia; La Paz","La Paz"
"620","Colima","Pseudochama corrugata","Manzanillo",NA,NA,"Especimen preservado de Pseudochama corrugata en Colima","Moluscos; Malacologia; Presencia; Manzanillo","Manzanillo"
"621","Guerrero","Pseudochama corrugata","Acapulco","1905","1905","Especimen preservado de Pseudochama corrugata en Guerrero","Moluscos; Malacologia; Presencia; Acapulco","Acapulco"
"622","Guerrero","Pseudochama corrugata","Zihuatanejo","1939","1939","Especimen preservado de Pseudochama corrugata en Guerrero","Moluscos; Malacologia; Presencia; Zihuatanejo","Zihuatanejo"
